No,Company,Ticker Symbol,Class
1,Apple Inc,AAPL,Stock
2,Microsoft Corp,MSFT,Stock
3,Amazon.com Inc,AMZN,Stock
4,Nvidia Corp,NVDA,Stock
5,Alphabet Inc Cl A,GOOGL,Stock
6,Tesla Inc,TSLA,Stock
7,Alphabet Inc Cl C,GOOG,Stock
8,Meta Platforms Inc Class A,META,Stock
9,Berkshire Hathaway Inc Cl B,BRK-B,Stock
10,Exxon Mobil Corp,XOM,Stock
11,Unitedhealth Group Inc,UNH,Stock
12,Johnson & Johnson,JNJ,Stock
13,Jpmorgan Chase & Co,JPM,Stock
14,Broadcom Inc,AVGO,Stock
15,Visa Inc Class a Shares,V,Stock
16,Eli Lilly & Co,LLY,Stock
17,Procter & Gamble Co,PG,Stock
18,Mastercard Inc A,MA,Stock
19,Home Depot Inc,HD,Stock
20,Chevron Corp,CVX,Stock
21,Merck & Co. Inc.,MRK,Stock
22,Pepsico Inc,PEP,Stock
23,Abbvie Inc,ABBV,Stock
24,Coca Cola Co,KO,Stock
25,Costco Wholesale Corp,COST,Stock
26,Pfizer Inc,PFE,Stock
27,Walmart Inc,WMT,Stock
28,Adobe Inc,ADBE,Stock
29,Mcdonald S Corp,MCD,Stock
30,Salesforce Inc,CRM,Stock
31,Cisco Systems Inc,CSCO,Stock
32,Advanced Micro Devices,AMD,Stock
33,Thermo Fisher Scientific Inc,TMO,Stock
34,Bank of America Corp,BAC,Stock
35,Accenture Plc Cl A,ACN,Stock
36,Netflix Inc,NFLX,Stock
37,Oracle Corp,ORCL,Stock
38,Linde Plc,LIN,Stock
39,Abbott Laboratories,ABT,Stock
40,Comcast Corp Class A,CMCSA,Stock
41,Walt Disney Co,DIS,Stock
42,Texas Instruments Inc,TXN,Stock
43,Wells Fargo & Co,WFC,Stock
44,Danaher Corp,DHR,Stock
45,Verizon Communications Inc,VZ,Stock
46,Intel Corp,INTC,Stock
47,Nextera Energy Inc,NEE,Stock
48,Philip Morris International,PM,Stock
49,Raytheon Technologies Corp,RTX,Stock
50,Nike Inc Cl B,NKE,Stock
51,Qualcomm Inc,QCOM,Stock
52,Bristol Myers Squibb Co,BMY,Stock
53,Honeywell International Inc,HON,Stock
54,Lowe S Cos Inc,LOW,Stock
55,S&p Global Inc,SPGI,Stock
56,United Parcel Service Cl B,UPS,Stock
57,Caterpillar Inc,CAT,Stock
58,Conocophillips,COP,Stock
59,Intuit Inc,INTU,Stock
60,Intl Business Machines Corp,IBM,Stock
61,Union Pacific Corp,UNP,Stock
62,Boeing Co,BA,Stock
63,Applied Materials Inc,AMAT,Stock
64,Amgen Inc,AMGN,Stock
65,Medtronic Plc,MDT,Stock
66,Starbucks Corp,SBUX,Stock
67,Servicenow Inc,NOW,Stock
68,Morgan Stanley,MS,Stock
69,Goldman Sachs Group Inc,GS,Stock
70,General Electric Co,GE,Stock
71,Intuitive Surgical Inc,ISRG,Stock
72,At&t Inc,T,Stock
73,Prologis Inc,PLD,Stock
74,Deere & Co,DE,Stock
75,Elevance Health Inc,ELV,Stock
76,Blackrock Inc,BLK,Stock
77,American Express Co,AXP,Stock
78,Lockheed Martin Corp,LMT,Stock
79,Booking Holdings Inc,BKNG,Stock
80,Mondelez International Inc A,MDLZ,Stock
